Handle,Title,Body (HTML),Vendor,Type,Published,Variant SKU,Variant Price,Variant Barcode,Image Src,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Google Product Category,URL,Video URL,Status
organic-cotton-crew-tee,Organic Cotton Crew Tee,<p>A <strong>handmade</strong> organic cotton crew tee from the atelier.&nbsp;</p>,,Home,TRUE,FP-1001,19.99,8.900000000005E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/organic-cotton-crew-tee.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/organic-cotton-crew-tee,https://vimeo.com/123456789,active
heavyweight-canvas-tote,Heavyweight Canvas Tote,<p>A <strong>handmade</strong> heavyweight canvas tote from the atelier.&nbsp;</p>,,Home,TRUE,FP-1002,19.99,8.900000000012E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/heavyweight-canvas-tote.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/heavyweight-canvas-tote,,active
merino-wool-throw,Merino Wool Throw,<p>A <strong>handmade</strong> merino wool throw from the atelier.&nbsp;</p>,,Home,TRUE,FP-1003,19.99,8.900000000029E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/merino-wool-throw.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/merino-wool-throw,,active
stoneware-mug-12oz,Stoneware Mug 12oz,<p>A <strong>handmade</strong> stoneware mug 12oz from the atelier.&nbsp;</p>,,Home,TRUE,FP-1004,19.99,8.900000000036E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/stoneware-mug-12oz.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/stoneware-mug-12oz,,active
linen-napkin-set,Linen Napkin Set,<p>A <strong>handmade</strong> linen napkin set from the atelier.&nbsp;</p>,,Home,TRUE,FP-1005,19.99,8.900000000043E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/linen-napkin-set.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/linen-napkin-set,,active
beeswax-wrap-3-pack,Beeswax Wrap 3-Pack,<p>A <strong>handmade</strong> beeswax wrap 3-pack from the atelier.&nbsp;</p>,,Home,TRUE,FP-1006,19.99,8.900000000050E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/beeswax-wrap-3-pack.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/beeswax-wrap-3-pack,,active
cedarwood-soap-bar,Cedarwood Soap Bar,<p>A <strong>handmade</strong> cedarwood soap bar from the atelier.&nbsp;</p>,,Home,TRUE,FP-1007,19.99,8.900000000067E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/cedarwood-soap-bar.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/cedarwood-soap-bar,,active
matte-black-cutlery-set,Matte Black Cutlery Set,<p>A <strong>handmade</strong> matte black cutlery set from the atelier.&nbsp;</p>,,Home,TRUE,FP-1008,19.99 USD,8.900000000074E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/matte-black-cutlery-set.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/matte-black-cutlery-set,,active
oak-serving-board,Oak Serving Board,<p>A <strong>handmade</strong> oak serving board from the atelier.&nbsp;</p>,,Home,TRUE,FP-1009,USD 22,8.900000000081E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/oak-serving-board.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/oak-serving-board,,active
handwoven-basket,Handwoven Basket,<p>A <strong>handmade</strong> handwoven basket from the atelier.&nbsp;</p>,,Home,TRUE,FP-1010,19.99,8.900000000098E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/handwoven-basket.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/handwoven-basket,,active
best-price-desk-lamp,BEST PRICE Desk Lamp,<p>A <strong>handmade</strong> best price desk lamp from the atelier.&nbsp;</p>,,Home,TRUE,FP-1011,19.99,8.901234000007E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/best-price-desk-lamp.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/best-price-desk-lamp,,active
click-here-wool-socks,Click Here Wool Socks,<p>A <strong>handmade</strong> click here wool socks from the atelier.&nbsp;</p>,,Home,TRUE,FP-1012,19.99,8.901234000014E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/click-here-wool-socks.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/click-here-wool-socks,,active
wool-camp-blanket,WOOL CAMP BLANKET,<p>A <strong>handmade</strong> wool camp blanket from the atelier.&nbsp;</p>,,Home,TRUE,FP-1013,19.99,8.901234000021E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/wool-camp-blanket.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/wool-camp-blanket,https://vimeo.com/123456789,active
linen-apron-natural,LINEN APRON NATURAL,<p>A <strong>handmade</strong> linen apron natural from the atelier.&nbsp;</p>,,Home,TRUE,FP-1014,19.99,8.90E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/linen-apron-natural.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/linen-apron-natural,,active
ceramic-pour-over-set,Ceramic Pour-Over Set,<p>A <strong>handmade</strong> ceramic pour-over set from the atelier.&nbsp;</p>,,Home,TRUE,FP-1015,19.99,8.90E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/ceramic-pour-over-set.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/ceramic-pour-over-set,,active
cast-iron-mini-skillet,Cast Iron Mini Skillet,<p>A <strong>handmade</strong> cast iron mini skillet from the atelier.&nbsp;</p>,,Home,TRUE,FP-1016,19.99,123456784,https://cdn.shopify.com/s/files/1/0900/0001/products/cast-iron-mini-skillet.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/cast-iron-mini-skillet,,active
birchwood-salad-servers,Birchwood Salad Servers,<p>A <strong>handmade</strong> birchwood salad servers from the atelier.&nbsp;</p>,,Home,TRUE,FP-1017,19.99,12345678905,https://cdn.shopify.com/s/files/1/0900/0001/products/birchwood-salad-servers.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/birchwood-salad-servers,,active
cotton-percale-sheet-set,Cotton Percale Sheet Set,<p>A <strong>handmade</strong> cotton percale sheet set from the atelier.&nbsp;</p>,,Home,TRUE,FP-1018,19.99,36000291452,https://cdn.shopify.com/s/files/1/0900/0001/products/cotton-percale-sheet-set.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/cotton-percale-sheet-set,,active
brass-wall-hook-pair,Brass Wall Hook Pair,<p>A <strong>handmade</strong> brass wall hook pair from the atelier.&nbsp;</p>,,Home,TRUE,FP-1019,19.99,40123455,https://cdn.shopify.com/s/files/1/0900/0001/products/brass-wall-hook-pair.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/brass-wall-hook-pair,,active
enamel-mixing-bowl,Enamel Mixing Bowl,<p>A <strong>handmade</strong> enamel mixing bowl from the atelier.&nbsp;</p>,,Home,TRUE,FP-1020,19.99,12345670,https://cdn.shopify.com/s/files/1/0900/0001/products/enamel-mixing-bowl.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/enamel-mixing-bowl,,active
raw-honey-500g,Raw Honey 500g,<p>A <strong>handmade</strong> raw honey 500g from the atelier.&nbsp;</p>,Atelier North,Home,TRUE,FP-1021,19.99,8.900000000005E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/raw-honey-500g.jpg,AN-1021,new,Home & Garden,https://demo.feedpatch.shop/products/raw-honey-500g,,active
oat-milk-soap,Oat Milk Soap,<p>A <strong>handmade</strong> oat milk soap from the atelier.&nbsp;</p>,Atelier North,Home,TRUE,FP-1022,"18,50",8.900000000012E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/oat-milk-soap.jpg,AN-1022,new,Home & Garden,https://demo.feedpatch.shop/products/oat-milk-soap,,active
free-shipping-tea-towel,FREE SHIPPING Tea Towel,<p>A <strong>handmade</strong> free shipping tea towel from the atelier.&nbsp;</p>,Atelier North,Home,TRUE,FP-1023,19.99,8.900000000029E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/free-shipping-tea-towel.jpg,AN-1023,new,Home & Garden,https://demo.feedpatch.shop/products/free-shipping-tea-towel,,active
sale-spice-jars,SALE!!! Spice Jars,<p>A <strong>handmade</strong> sale!!! spice jars from the atelier.&nbsp;</p>,Atelier North,Home,TRUE,FP-1024,19.99,8.900000000036E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/sale-spice-jars.jpg,AN-1024,new,Home & Garden,https://demo.feedpatch.shop/products/sale-spice-jars,,active
pressed-flower-frame,Pressed Flower Frame,<p>A <strong>handmade</strong> pressed flower frame from the atelier.&nbsp;</p>,Atelier North,Home,TRUE,FP-1025,19.99,8.900000000043E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/pressed-flower-frame.jpg,AN-1025,new,Home & Garden,https://demo.feedpatch.shop/products/pressed-flower-frame,,active
clay-incense-holder,Clay Incense Holder,<p>A <strong>handmade</strong> clay incense holder from the atelier.&nbsp;</p>,,Home,TRUE,FP-1026,24.00,,https://cdn.shopify.com/s/files/1/0900/0001/products/clay-incense-holder.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/clay-incense-holder,,active
walnut-phone-stand,Walnut Phone Stand,<p>A <strong>handmade</strong> walnut phone stand from the atelier.&nbsp;</p>,,Home,TRUE,FP-1027,24.00,,https://cdn.shopify.com/s/files/1/0900/0001/products/walnut-phone-stand.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/walnut-phone-stand,,active
